source,target,weight
#252a23,#bad4b1,4
#252a23,#232a25,24
#252a23,#232a28,12
#252a23,#805040,23
#252a23,#d4ba6a,17
#252a23,#2a2515,14
#252a23,#807040,25
#252a23,#807b6b,13
#252a23,#d4856a,12
#252a23,#d4cbb1,14
#252a23,#803116,2
#252a23,#6b7b80,1
#252a23,#b1cbd4,2
#252a23,#1a2a15,7
#252a23,#252a15,15
#252a23,#152a1a,3
#252a23,#6b807b,4
#252a23,#b1d4cb,2
#252a23,#152a25,2
#252a23,#407080,2
#252a23,#6abad4,1
#252a23,#2a2107,1
#252a23,#2a151a,1
#252a23,#801631,2
#252a23,#d45124,3
#252a23,#708040,3
#252a23,#2a1525,1
#252a23,#25232a,1
#252a23,#2a2328,1
#252a23,#806616,1
#b1d4ba,#6b7080,5
#b1d4ba,#6b7b80,3
#b1d4ba,#b1cbd4,6
#b1d4ba,#b1d4cb,10
#b1d4ba,#bab1d4,1
#b1d4ba,#252a15,2
#b1d4ba,#2a2107,2
#b1d4ba,#2a2515,2
#b1d4ba,#6b807b,4
#b1d4ba,#70806b,1
#b1d4ba,#807040,5
#b1d4ba,#d4cbb1,16
#b1d4ba,#151a2a,2
#b1d4ba,#15252a,2
#b1d4ba,#1a152a,2
#b1d4ba,#805040,8
#b1d4ba,#d4856a,3
#b1d4ba,#2a2523,5
#b1d4ba,#405080,2
#b1d4ba,#25232a,4
#b1d4ba,#807b6b,4
#b1d4ba,#bad4b1,8
#b1d4ba,#cbd4b1,5
#b1d4ba,#2a151a,5
#b1d4ba,#2a2325,2
#b1d4ba,#80706b,7
#b1d4ba,#212a07,1
#b1d4ba,#708040,2
#b1d4ba,#806616,1
#b1d4ba,#07102a,1
#b1d4ba,#2a1525,3
#b1d4ba,#806b70,3
#b1d4ba,#d4ba6a,3
#b1d4ba,#25152a,2
#b1d4ba,#2a2328,1
#b1d4ba,#803116,1
#b1d4ba,#d45124,1
#b1d4ba,#28232a,1
#1a2a15,#152a1a,6
#1a2a15,#252a15,14
#1a2a15,#232a25,4
#1a2a15,#70806b,3
#1a2a15,#807040,12
#1a2a15,#d4ba6a,8
#1a2a15,#805040,8
#1a2a15,#152a25,1
#1a2a15,#232a28,2
#1a2a15,#407080,2
#1a2a15,#2a2107,6
#1a2a15,#2a2515,12
#1a2a15,#807b6b,3
#1a2a15,#d4cbb1,9
#1a2a15,#803116,6
#1a2a15,#d45124,2
#1a2a15,#806616,4
#1a2a15,#d4856a,5
#1a2a15,#212a07,4
#1a2a15,#708040,2
#1a2a15,#2a2523,1
#15252a,#07102a,2
